nro_registro;tipo_activ;comuna;manzana;calle_nombre;calle_altura;direccion_normalizada;nombre_cientifico;estado_plantera;ubicacion_plantera;nivel_plantera;diametro_altura_pecho;altura_arbol
26528;Lineal;3; ;Riobamba;0;RIOBAMBA 74;No identificado;Ocupada;Regular;A nivel;142;
314678;Lineal;7;161;La Portena;0;LA PORTEnA 90;Fraxinus pennsylvanica;Ocupada;Regular;A nivel;142;10
341086;Lineal;10;341;Pergamino;0;PERGAMINO 21;Fraxinus excelsior;Ocupada;Regular;A nivel;143;
218919;Lineal;15;599;Viale Luis;0;VIALE, LUIS 74;Fraxinus pennsylvanica;Ocupada;Regular;A nivel;143;
228534;Lineal;15;883;Fraga;0;FRAGA 128;No identificado;Ocupada;Regular;A nivel;143;3
230027;Lineal;15;883;Guevara;0;GUEVARA 145;Melia azedarach;Ocupada;Regular;A nivel;143;14
228649;Lineal;15;883;Fraga;0;FRAGA 154;No identificado;Ocupada;Regular;A nivel;143;2
261678;Lineal;15;637;Arganaraz;0; ;Fraxinus pennsylvanica;Ocupada;Regular;A nivel;143;2
344063;Lineal;10;341;Azul;0;AZUL 72;Fraxinus excelsior;Ocupada;Regular;Bajo nivel;143;9
211624;Lineal;15;637;Arganaraz;0; ;No identificado;Ocupada;Regular;Bajo nivel;143;3
34318;Lineal;3; ;Azcuenaga;0;AZCUENAGA 61;No identificado;Ocupada;Regular;Elevada;143;
304237;Lineal;7;390;Estrada;0;ESTRADA 30;Fraxinus pennsylvanica;Ocupada;Regular;Elevada;143;11
238852;Lineal;15;141;14 de Julio;1;14 DE JULIO 19;Ficus benjamina;Ocupada;Regular;A nivel;143;5
329480;Lineal;10;324;Cuenca;17;CUENCA 862;Fraxinus oxicarpa;Ocupada;Regular;A nivel;143;
5417;Lineal;5; ;Castro;70;CASTRO 747;Acer campestre;Ocupada;Regular;Elevada;144;
70550;Lineal;14; ;Baez;100;BAEZ 121;No identificado;Ocupada;Fuera de linea;A nivel;145;
