tree name;diameter mean
Osmanthus fragrans;150
Carpinus betulus;92.25
Sterculia coccinea;85
Eucalyptus tereticornis;81.8
Salix alba;80.5
Fraxinus ornus;77.61
Tristania conferta;76
Caryota urens;75
Ulmus sp.;73
Dypsis lutescens;70
Eucalyptus camaldulensis;68.24
Sambucus peruvianus;67.33
Cocus nucifera;65
Arbusto;64.8
Eucalyptus robusta;64
Ficus aspera;64
Eucalyptus sp.;62.45
Melia azedarach ;62.28
Platanus x acerifolia;61.57
Ficus elastica;60.36
Eucalyptus sideroxylon;58
Phoenix dactilifera;57.5
Eleagnus angustifolia;57.33
Ficus macrophylla;56.9
Melia azedarach;55.96
Phytolacca dioica;55.48
Vitis vinifera;55
Tipuana tipu;54.5
Eucalyptus viminalis;54.28
Handroanthus sp.;54
Musa  paradisiaca;52.33
Juniperus chinensis variegata;52
Populus deltoides;51.48
Eucalyptus globulus;51.4
Populus nigra;50.56
Pinus pinaster;49
Cactus;48
Livistrona australis;48
Ficus auriculata;47
Cedrus sp .;46.72
Ceiba speciosa;46.06
Ceiba insignis;45.17
Fraxinus oxicarpa;44.42
Ulmus pumila;44.4
Cajanus cajana;44
Maclura pomifera;44
Ulmus procera;43.72
Schinus molle;43.12
Eucalyptus saligna;43
Cinnamomum camphora;41.77
Salix humboldtiana;41.59
Ficus sp.;41.5
Cedrela sp.;41
Salix babylonica;40.85
Populus nigra `’Italica’;40.12
Acacia visco;40.02
Dracaena indivisa;40
Styphnolobium japonicum;39.77
Cedrela angustifolia;39.5
Erythryna poepiggiana;39
Salix nigra;39
Agathis robusta;38.79
Cinnamonum glanduliferum;38.21
Celtis laevigata;38
Cordia trichotoma;38
Populus x canadensis;37.87
Casuarina cunninghamiana;37.51
Pterogyne nitens;37.47
Cedrus deodara;37.44
Bougainvillea sp.;37
Acer negundo;36.75
Ficus glomerata;36.75
Cedrela fissilis;36.58
Abies alba;36.16
Cordia myxa;36
Ficus altissima;35.83
Yucca gloriosa;35.79
Ficus benjamina;35.48
Carya illinoensis;35.14
Enterolobium contortisiliquum;35.03
Phoenix paludosa;35
Citrus sp.;34.9
Broussonetia papyrifera;34.66
Phoenix canariensis;34.45
Ficus lyrata;34.04
Washingtonia robusta;34.01
Ficus luschnathiana;34
Sabal minor;34
Salix sp.;34
Schefflera morototoni;34
Schinus terebinthifolius;34
Eucalyptus grandis;33.65
Ruprechtia salicifolia;33.5
Platycladus orientalis;33.46
Livistona chinensis;33.39
Melaleuca spp.;33.33
Gleditsia triacanthos;33.22
Grevillea robusta;33.18
Washingtonia filifera;33.12
Pinus halepensis;33.1
Salix viminalis;33
Taxodium distichum;33
Parapiptadenia rigida;32.79
Styphnolobium japonicum pendula;32.57
Ficus retusa;32.5
Melia azedarach  var. umbraculifera;32.39
Calocedrus decurrens;32.18
Pinus strobus;32
Fraxinus americana;31.93
Fraxinus pennsylvanica;31.78
Hexachlamys edulis;31.66
Cycas revoluta;31.62
Acacia melanoxylon;31.58
Nerium oleander;31.58
Populus alba var. pyramidalis;31.56
Araucaria araucana;31.5
Schefflera digitata;31.42
Cupressus funebris;30.83
Morus nigra;30.52
Quercus imbricaria;30.5
Fraxinus excelsior;30.3
Evonymus japonica;30
Litsea glaucescens;30
Myoporum tenuifolium;30
Acacia mearsnii;29.68
Populus alba;29.63
Cocculus laurifolius;29.55
Celtis australis;29.52
Ailanthus altissima;29.44
Inga uruguayensis;29.42
Citharexylum montevidense;29.33
Acacia dealbata;29.27
Erythrina crista-galli;29.19
Schefflera actinophylla;29.06
Quercus suber;29
Robinia pseudoacacia;28.87
Sapium haematospermum;28.81
Juglans regia;28.76
Cupressus sempervirens;28.19
Pinus canariensis;28.14
Morus alba;28.12
Gleditsia triacanthos inermis;28
Schefflera arboricola;27.69
Juglans nigra;27.57
Malus sylvestris;27.5
Celtis tala;27.46
Pinus elliottii;27.12
Araucaria bidwillii;27.09
Araucaria sp.;27
Ficus monckii;27
Butia yatay;26.85
Tilia x moltkei;26.65
Chamaerops humilis;26.62
Dracaena marginata;26.56
Fagus sylvatica;26.5
Acacia caven;26.4
Cordyline australis;26.33
Prosopis nigra;26.33
Prosopis sp.;26.25
Robinia pseudoacacia v. frisia;26.21
Anadenanthera collubrina var.cebil;26
Dombeya wallichii;26
Euphorbia umbellata;26
Jasminum sp.;26
Melia azedarach variegata;26
Quercus palustris;25.89
Robinia pseudoacacia v. umbraculifera;25.73
Tilia cordata;25.7
Cupressus sp.;25.68
Quercus robur;25.44
Paulownia tomentosa;25.4
Firmiana platanifolia;25.19
Allophylus edulis;25
Cotoneaster salicifolius;25
Pouteria salicifolia;25
Cupressus sempervirens f. stricta;24.94
Catalpa bignonioides;24.84
Beaucarnea recurvata;24.75
Cupressus sempervirens f. horizontalis;24.73
Salix x erythroflexuosa;24.6
Tilia platyphyllos;24.54
Ligustrum lucidum;24.53
Cupressocyparis x leylandii;24.5
Prunus armeniaca;24.48
Brachychiton populneus;24.33
Syagrus romanzoffiana;24.33
Pinus pinea;24.07
Pittosporum tobira;24.06
Abutilon grandiflorum;24
Aloysia citriadora;24
Eucalyptus citriodora;24
Geoffroea decorticans;24
Quercus macrocarpa;24
Taxodium ascendens;24
Taxodium mucronatum;24
Araucaria angustifolia;23.94
Olea europaea;23.82
Jacaranda mimosifolia;23.79
Copernicia alba;23.61
Gleditsia amorphoides;23.6
Cedrus atlantica;23.5
Syzygium australe;23.5
Phoenix reclinata;23.3
Trithrinax campestris;23.28
Sesbania punicea;23.16
Cotoneaster acuminatus;23
Roystonea regia;23
Araucaria heterophylla;22.87
Quercus borealis;22.86
Cupressus lusitanica;22.47
Pinus sp.;22.4
Callistemon rigidus;22.29
Robinia pseudoacacia v. casque rouge;22.28
Araucaria cunninghamii;22
Brachychiton acerifolium;22
Prunus salicina;21.93
Euphorbia cotinifolia;21.89
Fraxinus sp.;21.88
No identificado;21.79
Callistemon citrinus;21.73
Calocedrus decurrens f. aureovariegata;21.66
Cedrus libani;21.54
Ligustrum sinense;21.47
Ligustrum ovalifolium;21.46
Erythrina falcata;21.3
Cupressus macrocarpa;21.27
Trachycarpus fortunei;21.25
Juniperus communis;21.16
Magnolia grandiflora;21.14
Acer platanoides;21.11
Cupressus arizonica;20.96
Laurus nobilis;20.87
Hovenia dulcis;20.86
Cestrum nocturnum;20.84
Acacia sp.;20.83
Ceratonia siliqua;20.75
Schefflera sp.;20.6
Hibiscus rosa-sinensis;20.54
Thevetia peruviana;20.37
Gardenia thunbergia;20.33
Ficus benjamina variegata;20.05
Fraxinus angustifolia;20
Magnolia liliflora;20
Podocarpus sp.;20
Prunus cerasus;20
Prunus serrulata;20
Quercus rubra;20
Synadenium grantii;20
Punica granatum;19.88
Ficus alii;19.85
Dracaena sp.;19.7
Celtis occidentalis;19.68
Cryptomeria japonica;19.63
Luehea divaricata;19.61
Bougainvillea spectabilis;19.52
