tree name;diameter mean
PLATYPHYLLA;37.5
LEYLANDII;37
CANESCENS   X;35
DENTATA;33.85
AILANTHIFOLIA;32
CARPINIFOLIA;29.88
TRICHOCARPA;28.33
HOLLANDICA   X;27.85
SACCHARINUM;27.43
BIGNONIOIDES;26.05
PROCERA;25.66
HIPPOCASTANUM;25.6
GRIFFITHII;25.33
RUBRA;24.87
GLABRA;24.86
MACROPHYLLUM;24.51
EMARGINATA;24
BABYLONICA;23.57
FRAXINIFOLIA;23.5
SPECIOSA;23.4
PADUS;23.31
POPULIFOLIA;23.05
SATIVA;22.67
QUADRANGULATA;22.4
MENZIESII;22.05
THUNBERGII;22
ACERIFOLIA   X;20.78
SEMPREVIRENS;20.57
DEODARA;20.45
ANGUSTIFOLIA;20.44
SPICATUM;20.33
NEGUNDO;20.17
COMMUNIS;20.04
HILLIERI;19.97
LAWSONIANA;19.78
MERTENSIANA;19.46
ALBA;19.34
SEROTINA;19.28
SUBHIRTELLA;19.21
PAPYRIFERA;19.18
PLICATA;19.05
CINEREA;18.88
ENGELMANNII;18.66
SACCHARUM;18.56
TRIFOLIATA;18.33
PISIFERA;18.15
AMURENSE;18
STROBUS;18
TOMENTOSA;17.96
PENDULA;17.89
HETEROPHYLLA;17.85
AVIUM;17.77
NUTTALLII;17.73
NIGRA;17.68
SERRULATA;17.4
EUROPAEA   X;17.17
CISSIFOLIUM;17.05
RUGOSA;16.85
PSEUDOACACIA;16.7
GIGANTEUM;16.66
ROBUR;16.53
ATLANTICA;16.5
BANKSIANA;16.46
PSEUDOPLATANUS;16.22
SYLVESTRIS;15.94
ALTISSIMA;15.75
REGIA;15.66
VERTICILLATA;15.66
MAXIMA;15.61
MONTICOLA;15.54
PONDEROSA;15.25
AMERICANA;15.23
CONCOLOR;15
VILMORINII;15
TULIPIFERA;14.84
SIMONII;14.79
OBTUSA;14.54
GARRYANA;14.5
LATIFOLIA;14.25
EXCELSIOR;14.05
PUMILA;14.05
PLATANOIDES;14.03
BALSAMEA;13.88
MARIANA;13.8
PAVIA;13.76
DECIDUA;13.58
ARGUTUM;13.42
GLYPTOSTROBOIDES;13.33
NOOTKATENSIS;13.27
EUCHLORA   X;13.02
ANAGYROIDES;13
MATSUDANA;13
MACROCARPA;12.92
ABIES;12.79
VELUTINA;12.75
GRANDIS;12.72
DAVIDII;12.7
CORDATA;12.66
TRILOBA;12.66
CONTORTA;12.53
AQUIFOLIUM;12.47
WATERERI  X;12.38
STENOPTERA;12.17
SPECIES;12.02
NORDMANNIANA;12
OXYCARPA;11.96
PALUSTRIS;11.93
PLATYPHYLLOS;11.7
TREMULOIDES;11.65
PUNGENS;11.42
DECURRENS;11.31
ARAUCANA;11.3
CERASIFERA;11.28
MONOGYNA;11.05
ORIENTALIS;11
SOULANGEANA  X;10.78
ACUMINATA;10.71
BLIREANA;10.52
GINNALA;10.52
SITCHENSIS;10.48
SARGENTII;10.15
OXYACANTHA;10.13
VEITCHII   X;10
CRENATA;9.94
SERRULA;9.72
BETULUS;9.69
GLUTINOSA;9.5
PRINUS;9.42
COLURNA;9.23
COCCINEA;8.92
CARNEA   X;8.91
STYRACIFLUA;8.88
ACUTISSIMA;8.8
CAMPESTRE;8.78
PHELLOS;8.73
GLAUCA;8.7
ALBA-SINENSIS;8.66
LUSITANICA;8.57
PURSHIANA;8.52
YUNNANENSIS;8.43
LUTEA;8.4
MUGO;8.33
SHUMARDII;8.33
TYPHINA;8.31
FLORIDA;8.3
KOBUS;8.21
BARBATUM;8.2
ORNUS;8.13
ALPINUM;8
MOLLIS;7.95
CHINENSE;7.92
X YEDOENSIS;7.88
GLABRUM;7.87
RACEMOSA;7.75
PENNSYLVANICA;7.72
SYLVATICA;7.7
RUBRUM;7.69
BACCATA;7.6
NIGRUM;7.56
CARICA;7.55
TRIACANTHOS;7.5
PANICULATA;7.42
NOBILIS;7.4
JACQUEMONTII;7.39
FLORIBUNDA;7.38
ARIA;7.1
DOMESTICA;7.04
CAPPADOCICUM;7.03
VIRGINIANA;7.02
UNEDO;7
CAROLINIANA;6.99
TATARICUM;6.93
CIRCINATUM;6.89
JAPONICUM;6.82
THURINGIACA   X;6.75
SERRATA;6.73
FREEMANI   X;6.68
BUNGEI;6.67
ELATA;6.5
SPECTABILIS;6.5
ULMOIDES;6.41
CAPILLIPES;6.31
ANTARTICA;6.3
LILIIFLORA;6.22
PALMATUM;6.05
AUCUPARIA;6.03
JULIBRISSIN;6
PARVIFLORA;6
STELLATA;6
MAS;5.96
OCCIDENTALIS;5.89
CRUS-GALLI;5.88
HISPIDA;5.75
FORTUNEI;5.66
PENNSYLVANICUM;5.63
KOUSA;5.62
FRAINETTO;5.58
LAVALLEI  X;5.54
MICROMALUS   X;5.5
TRUNCATUM;5.49
ERUBESCENS;5.16
ALNIFOLIA;5.14
PHAENOPYRUM;5.01
DISTICHUM;5
SEPTEMLOBUS;5
TRICHOTOMUM;5
BILOBA;4.91
INVOLUCRATA;4.89
ZUMI;4.86
GRANDIFLORA;4.85
AVELLANA;4.77
LOEBNERI  X;4.77
VULGARIS;4.72
MYRSINIFOLIA;4.66
DAWSONIANA;4.57
HYBRIDA X;4.57
HUPEHENSIS;4.5
JEFFREYI;4.5
CALLERYANA;4.45
ASCENDENS;4.4
CHINENSIS;4.32
TRANSITORIA;4.27
CONTROVERSA;4.24
GRANDIFOLIA;4.12
JAPONICA;4.09
OMORIKA;4.08
DENUDATA;4.07
PERSICA;4.01
LASIOCARPA;4
OVATA;4
TASHKENTENSIS;4
OBASSIA;3.9
CANADENSIS;3.81
KEWENSIS X;3.72
EUROPEA;3.69
XX;3.65
GERMANICA;3.63
GRISEUM;3.62
TEGMENTOSUM;3.54
HENRYI;3.5
MAACKII;3.5
DOUGLASII;3.4
SALICINA;3.36
SIEBOLDII;3.34
SYRIACA;3.34
PSEUDOCAMELLIA;3.31
MESERVEAE;3.25
OFFICINALIS;3.25
X WAREI;3.25
TREMULA;3.23
INSIGNIS;3.21
MORDENSIS;3.19
MONADELPHA;3.13
ARNOLDIANA X;3.11
LIKIANGENSIS;3.1
RETICULATA;3.1
DIOICUS;3.05
GRANDIFLORA X;3.01
ARMENIACA;3
CAPITATA;3
COCOMILIA;3
COLUMA;3
CYLINDRICA;3
ELLIPSOIDALIS;3
FLAVA;3
FLEXILUS;3
KOREANA;3
LENTAGO;3
MIYABEI;3
PSEUDOSIEBOLDIANUM;3
RHAMNOIDES;3
ROBUR X ALBA;3
SARGENTIANA;3
SINENSIS;3
SPRENGERI;3
SWEETHEART;3
TIANSHANICA;3
WILSONII;3
X BIMUNDORUM;3
ZENII;3
LAEVIS;2.66
OFFICIANALIS;2.63
ARBOREUM;2.5
